NUMBER	WORD	GROUP
1	Father	2
2	Water	2
3	Night	2
4	Hand	2
5	Woman	2
6	fire	4
7	walk	4
8	mother	4
9	plants	4
10	small	4
11	eat	1
12	water	1
13	hand	1
14	go	1
15	sleep	1
16	You	5
17	me	5
18	Yes	5
19	no	5
20	house	5
21	Sun	7
22	mother	7
23	Sun	7
24	Birds	7
25	Water	7
26	Rain	8
27	food	8
28	peace	8
29	me	8
30	walk	8
31	Greeting words	9
32	numbers	9
33	daily objects	9
34	time-related words	9
35	basic verbs (to be)	9
36	Food	6a
37	Mother	6a
38	Plant	6a
39	Rain	6a
40	Cat	6a
41	Birds	10
42	head	10
43	eat	10
44	there	10
45	mother	10
46	father	11
47	mother	11
48	water	11
49	dog	11
50	hand	11
51	food	6b
52	plant	6b
53	hand	6b
54	rain	6b
55	sleep	6b
56	Sun	12
57	Mother	12
58	Water	12
59	Dogs	12
60	Birds	12
61	I	3
62	one	3
63	person	3
64	tree	3
65	big	3